기간	자치구	세대	합계	남자	여자	소계	남자	여자	소계	남자	여자
2021.04	서울시	4,403,263	9,819,851	4,769,301	5,050,550	9,588,711	4,661,711	4,927,000	231,140	107,590	123,550
2021.04	종로구	74,178	156,325	75,666	80,659	147,113	71,567	75,546	9,212	4,099	5,113
2021.04	중구	63,851	133,717	65,289	68,428	124,477	60,787	63,690	9,240	4,502	4,738
2021.04	용산구	112,940	243,142	117,978	125,164	228,755	110,038	118,717	14,387	7,940	6,447
2021.04	성동구	135,884	298,230	145,183	153,047	291,534	142,277	149,257	6,696	2,906	3,790
2021.04	광진구	166,666	355,820	170,942	184,878	343,006	165,555	177,451	12,814	5,387	7,427
2021.04	동대문구	166,000	352,591	173,158	179,433	338,480	167,643	170,837	14,111	5,515	8,596
2021.04	중랑구	185,458	396,278	195,339	200,939	391,502	193,444	198,058	4,776	1,895	2,881
2021.04	성북구	194,136	443,999	213,363	230,636	434,383	209,667	224,716	9,616	3,696	5,920
2021.04	강북구	144,472	307,080	149,315	157,765	303,622	148,033	155,589	3,458	1,282	2,176
2021.04	도봉구	138,160	323,280	157,318	165,962	321,227	156,570	164,657	2,053	748	1,305
2021.04	노원구	217,238	521,438	251,331	270,107	517,417	249,522	267,895	4,021	1,809	2,212
2021.04	은평구	212,764	478,922	229,117	249,805	474,843	227,446	247,397	4,079	1,671	2,408
2021.04	서대문구	143,087	318,550	151,035	167,515	307,825	147,264	160,561	10,725	3,771	6,954
2021.04	마포구	177,796	379,506	177,857	201,649	369,577	174,050	195,527	9,929	3,807	6,122
2021.04	양천구	180,783	455,444	223,126	232,318	452,112	221,708	230,404	3,332	1,418	1,914
2021.04	강서구	268,133	583,046	280,930	302,116	577,580	278,466	299,114	5,466	2,464	3,002
2021.04	구로구	180,042	425,854	211,660	214,194	400,399	197,653	202,746	25,455	14,007	11,448
2021.04	금천구	114,538	244,273	124,174	120,099	229,639	116,211	113,428	14,634	7,963	6,671
2021.04	영등포구	184,525	402,990	200,275	202,715	377,696	186,652	191,044	25,294	13,623	11,671
2021.04	동작구	183,826	398,310	192,202	206,108	388,672	188,032	200,640	9,638	4,170	5,468
2021.04	관악구	273,751	503,490	252,036	251,454	489,464	245,666	243,798	14,026	6,370	7,656
2021.04	서초구	171,947	424,123	202,943	221,180	420,318	201,075	219,243	3,805	1,868	1,937
2021.04	강남구	233,203	538,352	257,569	280,783	533,579	255,243	278,336	4,773	2,326	2,447
2021.04	송파구	280,324	665,856	320,975	344,881	660,160	318,374	341,786	5,696	2,601	3,095
2021.04	강동구	199,561	469,235	230,520	238,715	465,331	228,768	236,563	3,904	1,752	2,152
