Station,District,BuiltDate
301,종로구,2015-10-07
302,종로구,2015-10-07
303,종로구,2015-10-07
304,종로구,2021-01-26
305,종로구,2015-10-07
306,종로구,2015-10-07
307,종로구,2015-10-07
308,종로구,2021-01-26
309,종로구,2015-10-07
314,종로구,2015-10-07
316,종로구,2015-10-07
326,종로구,2015-10-07
327,종로구,2015-10-07
328,종로구,2015-10-07
329,종로구,2015-10-07
334,종로구,2015-10-07
335,종로구,2015-10-07
337,종로구,2015-10-07
338,종로구,2015-10-07
339,종로구,2015-10-07
340,종로구,2015-10-07
341,종로구,2015-10-07
342,종로구,2015-10-07
343,종로구,2021-01-08
344,종로구,2015-10-07
345,종로구,2015-10-07
348,종로구,2016-06-01
349,종로구,2016-06-01
351,종로구,2016-06-01
352,종로구,2016-06-01
353,종로구,2016-06-01
354,종로구,2016-06-01
355,종로구,2016-06-01
356,종로구,2016-06-01
358,종로구,2016-06-01
359,종로구,2016-06-01
361,종로구,2016-06-01
362,종로구,2016-06-01
363,종로구,2016-06-01
364,종로구,2016-06-01
367,종로구,2016-06-01
368,종로구,2016-06-01
369,종로구,2016-06-01
385,종로구,2016-07-06
388,종로구,2016-09-02
393,종로구,2018-01-26
394,종로구,2020-10-06
395,종로구,2018-01-26
397,종로구,2018-04-30
446,종로구,2017-08-01
447,종로구,2020-10-29
449,종로구,2017-08-01
450,종로구,2017-09-07
451,종로구,2017-09-07
452,종로구,2018-10-23
453,종로구,2018-08-31
454,종로구,2018-08-31
455,종로구,2018-08-30
456,종로구,2018-08-30
457,종로구,2018-08-30
458,종로구,2018-08-31
461,종로구,2018-10-29
462,종로구,2019-06-20
464,종로구,2019-08-16
465,종로구,2019-11-20
486,종로구,2020-03-11
3401,종로구,2020-06-11
3402,종로구,2020-04-19
3403,종로구,2020-02-26
3404,종로구,2020-02-03
3405,종로구,2020-02-11
3406,종로구,2020-05-08
3407,종로구,2020-02-10
3408,종로구,2020-02-10
3410,종로구,2020-02-11
3411,종로구,2020-02-10
3412,종로구,2020-02-11
3413,종로구,2020-02-04
3414,종로구,2020-02-11
3415,종로구,2020-02-26
3416,종로구,2020-02-04
3417,종로구,2020-02-03
3418,종로구,2020-02-03
3419,종로구,2020-02-10
3420,종로구,2020-02-04
3421,종로구,2020-02-04
3422,종로구,2020-02-04
3423,종로구,2020-02-04
3425,종로구,2020-05-04
3426,종로구,2020-02-11
3427,종로구,2020-02-13
3428,종로구,2020-02-13
3429,종로구,2020-02-13
3430,종로구,2020-02-13
3431,종로구,2020-02-13
3432,종로구,2020-02-10
4702,종로구,2020-07-21
4710,종로구,2020-11-05
4711,종로구,2020-09-10
300,중구,2015-10-07
310,중구,2015-10-07
311,중구,2015-10-07
312,중구,2015-10-07
318,중구,2015-10-07
320,중구,2015-10-07
321,중구,2015-10-07
322,중구,2015-10-07
324,중구,2015-10-07
331,중구,2020-07-28
332,중구,2015-10-07
336,중구,2015-10-07
346,중구,2015-10-07
347,중구,2015-10-07
370,중구,2016-06-15
371,중구,2016-06-15
372,중구,2016-06-15
373,중구,2016-06-15
374,중구,2016-06-15
375,중구,2016-06-15
378,중구,2016-06-15
379,중구,2016-06-15
380,중구,2016-06-15
381,중구,2016-06-15
382,중구,2016-06-15
383,중구,2016-06-15
384,중구,2016-06-15
387,중구,2016-07-06
389,중구,2017-08-03
390,중구,2017-08-03
391,중구,2017-09-04
398,중구,2018-10-26
399,중구,2018-10-12
428,중구,2018-10-22
429,중구,2018-10-22
430,중구,2018-11-02
431,중구,2020-09-24
433,중구,2018-12-14
434,중구,2018-12-06
435,중구,2018-12-06
826,중구,2017-08-03
441,중구,2020-01-31
442,중구,2020-02-03
443,중구,2020-01-31
444,중구,2020-02-03
445,중구,2020-01-31
466,중구,2020-02-28
467,중구,2020-01-31
468,중구,2020-01-31
469,중구,2020-01-31
470,중구,2020-01-31
471,중구,2020-01-31
472,중구,2020-01-30
473,중구,2020-03-01
474,중구,2020-01-29
475,중구,2020-01-29
476,중구,2020-01-29
477,중구,2020-01-30
479,중구,2020-01-30
480,중구,2020-01-30
481,중구,2020-01-29
482,중구,2020-01-29
483,중구,2020-01-29
484,중구,2020-02-13
485,중구,2020-02-03
3013,중구,2020-06-30
4761,중구,2020-10-19
4762,중구,2020-09-23
4772,중구,2020-10-05
4774,중구,2020-09-23
4775,중구,2020-09-24
4776,중구,2020-10-19
4778,중구,2020-10-19
4784,중구,2020-10-19
4785,중구,2020-10-19
4791,중구,2020-10-19
800,용산구,2016-06-29
802,용산구,2016-06-29
803,용산구,2016-06-29
805,용산구,2016-06-29
806,용산구,2016-06-29
807,용산구,2016-06-29
808,용산구,2016-06-29
809,용산구,2016-06-29
810,용산구,2016-06-29
811,용산구,2016-06-29
812,용산구,2016-06-29
813,용산구,2016-06-29
815,용산구,2016-06-29
816,용산구,2016-07-06
817,용산구,2016-07-06
818,용산구,2016-07-06
819,용산구,2016-07-06
820,용산구,2016-07-06
822,용산구,2016-07-06
823,용산구,2016-07-06
825,용산구,2016-07-06
827,용산구,2017-11-28
828,용산구,2017-11-28
829,용산구,2017-11-28
830,용산구,2017-11-28
831,용산구,2017-11-28
832,용산구,2017-12-22
834,용산구,2017-12-22
835,용산구,2017-12-22
836,용산구,2017-12-22
837,용산구,2017-12-22
838,용산구,2018-12-14
839,용산구,2018-12-14
840,용산구,2018-10-14
841,용산구,2018-10-12
843,용산구,2018-10-07
844,용산구,2018-10-19
845,용산구,2018-09-09
846,용산구,2018-12-14
847,용산구,2020-03-28
848,용산구,2020-03-28
849,용산구,2020-03-30
850,용산구,2020-03-28
851,용산구,2020-03-28
852,용산구,2020-03-28
853,용산구,2020-04-07
854,용산구,2020-04-05
855,용산구,2020-04-07
857,용산구,2020-04-07
858,용산구,2020-04-07
859,용산구,2020-04-05
860,용산구,2020-04-07
863,용산구,2020-04-07
864,용산구,2020-04-05
865,용산구,2020-04-05
866,용산구,2020-03-30
867,용산구,2020-04-07
868,용산구,2020-03-28
869,용산구,2020-04-03
870,용산구,2020-04-03
4602,용산구,2020-10-29
4604,용산구,2020-10-30
4605,용산구,2020-10-30
4616,용산구,2020-10-30
4617,용산구,2020-10-30
4618,용산구,2020-10-30
4627,용산구,2020-10-29
3511,성동구,2017-11-01
3513,성동구,2017-11-01
3514,성동구,2017-11-01
3515,성동구,2017-11-01
3525,성동구,2018-10-24
3527,성동구,2018-10-24
3530,성동구,2018-10-24
3531,성동구,2018-10-24
3532,성동구,2018-10-24
3538,성동구,2018-10-29
506,성동구,2015-10-07
507,성동구,2015-10-07
508,성동구,2015-10-07
509,성동구,2015-10-07
510,성동구,2015-10-07
511,성동구,2015-10-07
512,성동구,2015-10-07
513,성동구,2015-10-07
514,성동구,2015-10-07
518,성동구,2016-06-29
519,성동구,2016-06-29
520,성동구,2016-06-29
521,성동구,2016-06-29
522,성동구,2016-06-29
523,성동구,2016-06-29
524,성동구,2016-06-29
525,성동구,2016-06-29
526,성동구,2016-06-29
529,성동구,2016-06-29
